epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86315,1.78649,2.78969,1.83775,0.44654,0.55729,0.43974,0.16084,2.03275,4.44617,2.21899,0.000653333,0.000653333,0.000653333
2,13.1195,1.81824,2.11948,1.84723,0.14017,0.13918,0.07028,0.01896,2.60555,8.38686,3.841,0.00130693,0.00130693,0.00130693
3,18.4091,1.85444,2.03731,1.84281,0.02396,0.21134,0.01171,0.00366,2.68927,31.9428,2.92739,0.00194733,0.00194733,0.00194733
4,23.4281,1.83291,1.98264,1.81802,0.30375,0.42268,0.31968,0.11038,2.10397,9.12458,2.35522,0.0019406,0.0019406,0.0019406
5,28.5591,1.84076,1.93481,1.79452,0.01769,0.24742,0.00843,0.00282,2.76536,15.5206,2.87197,0.0019208,0.0019208,0.0019208
6,33.7699,1.80317,1.83934,1.74797,0.31436,0.40206,0.26059,0.09648,2.07833,9.38292,2.15914,0.001901,0.001901,0.001901
7,38.768,1.7397,1.80334,1.73278,0.52906,0.5675,0.51213,0.22895,1.96201,2.36688,1.91269,0.0018812,0.0018812,0.0018812
8,43.752,1.68169,1.71923,1.66665,0.62769,0.44845,0.55373,0.24106,2.14432,2.12855,1.94383,0.0018614,0.0018614,0.0018614
9,48.8355,1.65944,1.59801,1.63235,0.70212,0.53459,0.62721,0.29875,1.89379,2.37767,1.82985,0.0018416,0.0018416,0.0018416
10,53.8321,1.62175,1.56724,1.61777,0.29871,0.41753,0.26482,0.10055,2.17793,3.31886,2.1708,0.0018218,0.0018218,0.0018218
11,58.7399,1.62925,1.60566,1.6163,0.77342,0.61583,0.71659,0.3247,1.83286,1.84755,1.80503,0.001802,0.001802,0.001802
12,63.7991,1.59445,1.51057,1.58921,0.77465,0.62017,0.70262,0.36785,1.75131,1.45408,1.71792,0.0017822,0.0017822,0.0017822
13,68.8001,1.54973,1.473,1.56752,0.58291,0.56701,0.59193,0.26886,1.94591,2.77046,1.87248,0.0017624,0.0017624,0.0017624
14,73.7082,1.54127,1.39361,1.54582,0.75632,0.67196,0.7848,0.40407,1.83878,1.42873,1.73626,0.0017426,0.0017426,0.0017426
15,78.6879,1.53284,1.3484,1.54311,0.78266,0.77962,0.83378,0.42737,1.79033,1.43651,1.69541,0.0017228,0.0017228,0.0017228
16,83.7002,1.54762,1.45781,1.56798,0.78977,0.6701,0.76593,0.35549,1.99207,1.44592,1.81139,0.001703,0.001703,0.001703
17,88.8512,1.49963,1.37923,1.54397,0.75197,0.76804,0.82946,0.44295,1.6846,1.43353,1.63398,0.0016832,0.0016832,0.0016832
