epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05005,1.7567,2.83138,1.76602,0.45484,0.33505,0.34574,0.15616,1.89845,6.26208,2.31262,0.000653333,0.000653333,0.000653333
2,15.7875,1.88729,2.15944,1.81231,0.00043,0.13402,6e-05,1e-05,2.81399,1088.46,7.79009,0.00130693,0.00130693,0.00130693
3,21.7879,1.91078,2.1165,1.85122,0.00028,0.08763,4e-05,0,nan,nan,nan,0.00194733,0.00194733,0.00194733
4,27.6714,1.83037,1.99759,1.79442,0.11367,0.19699,0.06269,0.01786,2.78657,4.25714,3.10322,0.0019406,0.0019406,0.0019406
5,33.5023,1.82816,1.99811,1.81466,0.37749,0.28133,0.27511,0.08178,2.05208,11.612,2.2688,0.0019208,0.0019208,0.0019208
6,41.425,1.73576,1.77899,1.70118,0.55014,0.56102,0.57255,0.25132,1.86152,4.19925,1.96894,0.001901,0.001901,0.001901
7,49.0578,1.72087,1.81782,1.6721,0.48591,0.60825,0.52308,0.24971,1.83362,2.50142,1.78734,0.0018812,0.0018812,0.0018812
8,57.2439,1.7134,1.74992,1.67835,0.32573,0.50515,0.31005,0.14704,1.95965,2.60482,2.0274,0.0018614,0.0018614,0.0018614
9,66.7514,1.65755,1.68273,1.61191,0.65525,0.57216,0.63245,0.31208,1.75482,2.39896,1.72529,0.0018416,0.0018416,0.0018416
10,82.114,1.67228,1.65488,1.62075,0.44302,0.41753,0.39469,0.17895,1.92395,2.63421,1.97471,0.0018218,0.0018218,0.0018218
11,92.3088,1.5899,1.53172,1.56955,0.65656,0.67007,0.67531,0.37856,1.63166,1.59352,1.65403,0.001802,0.001802,0.001802
12,101.416,1.62424,1.61825,1.60275,0.70626,0.70103,0.74666,0.40307,1.54705,2.11082,1.61116,0.0017822,0.0017822,0.0017822
13,109.709,1.55576,1.46301,1.54852,0.71738,0.62887,0.68334,0.3764,1.5853,1.80851,1.61542,0.0017624,0.0017624,0.0017624
14,117.617,1.52192,1.40844,1.50768,0.74231,0.73711,0.80884,0.47143,1.47243,1.24685,1.4978,0.0017426,0.0017426,0.0017426
15,126.408,1.52069,1.3861,1.52053,0.77631,0.73344,0.80809,0.46716,1.49325,1.33313,1.5497,0.0017228,0.0017228,0.0017228
16,135.143,1.52831,1.39209,1.52991,0.64026,0.55047,0.60919,0.30704,1.91961,2.15076,1.88537,0.001703,0.001703,0.001703
17,144.337,1.48852,1.30335,1.49426,0.75501,0.76289,0.83688,0.46851,1.55994,1.22592,1.56833,0.0016832,0.0016832,0.0016832
18,152.017,1.50754,1.39414,1.51932,0.79664,0.72165,0.79779,0.49456,1.5291,1.23758,1.50861,0.0016634,0.0016634,0.0016634
19,161,1.47159,1.32587,1.49586,0.78498,0.75273,0.82489,0.48917,1.4657,1.20048,1.52353,0.0016436,0.0016436,0.0016436
20,170.151,1.40938,1.238,1.45387,0.79815,0.69301,0.77568,0.42477,1.69497,1.38601,1.65596,0.0016238,0.0016238,0.0016238
